,FSV,M,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval,spatially_variable
gene_22,0.9243105405051533,4,0.9340906222436361,0.08174538139292407,-2623.2883892223517,0.4461677139125786,0.9201882207900705,SE,2500,8.258849207459973e-07,0.00014145024174083278,0.002916574478149414,5277.872962488129,-3539.2093330429343,915.9209438205826,0.0,0.0,1
gene_23,0.9457263053123892,4,11.377976770644345,0.04489551810796652,-958.1422716852449,3.6996361718387685,2.6141076450482927,SE,2500,9.928101007024155e-06,0.0030412677776406006,0.0032923221588134766,1947.580727413915,-3867.4905164997645,2909.3482448145196,0.0,0.0,1
gene_24,0.9687389634569764,4,6.090403061383408,0.029828557204620777,-611.3664817496174,9.47757856554864,3.2401177138529227,SE,2500,6.918166475304543e-07,0.0005827160859863971,0.004063844680786133,1254.02914754266,-3381.721840740039,2770.355358990422,0.0,0.0,1
gene_25,0.8764645113126717,4,6.090403061383408,0.13028458758483713,-757.7355503408269,-8.940570222984716,1.2748529734749152,SE,2500,1.1893424985262015e-05,0.0009174995896199417,0.0032668113708496094,1546.767284725079,-3388.1870668608162,2630.451516519989,0.0,0.0,1
gene_26,0.8122707111874549,4,1.7450505811270067,0.22953410832098547,-912.5431468321981,-18.171200383526497,19.37553928917119,SE,2500,1.3538504144445906e-06,5.7279423646604585e-05,0.0028870105743408203,1856.3824777078214,-2751.977206168607,1839.434059336409,0.0,0.0,1
gene_27,0.9450780138909151,4,11.377976770644345,0.04546295323266642,-95.14108808134779,11.415997860800617,1.6849280614670479,SE,2500,1.4518121104423968e-05,0.00435408316112337,0.0032851696014404297,221.57836020612075,-2935.8969141081798,2840.755826026832,0.0,0.0,1
gene_28,0.8210415565238665,4,6.090403061383408,0.20147571022556818,-213.79275477006763,-9.14492429818271,0.8862226233449363,SE,2500,2.174473895952356e-05,0.0009806310743840697,0.003692150115966797,458.88169358356043,-2928.3124670653633,2714.519712295296,0.0,0.0,1
gene_29,0.9365114468685902,4,0.9340906222436361,0.0676749690615788,-2540.730686975198,-10.870114592194694,23.135119654069335,SE,2500,5.29177730932402e-07,0.00012283362235134814,0.0056819915771484375,5112.757557993821,-3640.24823252651,1099.5175455513122,0.0,0.0,1
gene_30,0.8041069059547468,4,1.7450505811270067,0.24194760230536233,-2025.7602252902914,7.542945335989452,3.954844873697938,SE,2500,1.673178411548292e-06,6.696274910604467e-05,0.002856016159057617,4082.8166346240077,-3625.3010557454595,1599.5408304551681,0.0,0.0,1
gene_31,0.9216482452994083,4,0.9340906222436361,0.08486512447255493,-2095.2489691239775,1.7992685949279155,1.180679743821681,SE,2500,4.4505535252029244e-07,7.18702958123626e-05,0.003354787826538086,4221.7941222913805,-3467.946118166188,1372.6971490422106,0.0,0.0,1
gene_32,0.8124948435449493,4,1.7450505811270067,0.22919682167956223,-2078.6598051603596,16.861967705038634,17.166277330802924,SE,2500,2.115568001285794e-06,8.96477929090514e-05,0.002505064010620117,4188.615794364145,-3412.7534706774536,1334.093665517094,0.0,0.0,1
gene_33,0.8926332276769566,4,6.090403061383408,0.1111814898132372,-701.5577262617039,-25.909250404398467,5.5686961162011,SE,2500,9.324928906618977e-06,0.0008960855377497372,0.003293752670288086,1434.411636566833,-3040.1310150128365,2338.5732887511326,0.0,0.0,1
gene_34,0.8594963757835501,4,1.7450505811270067,0.16235268143505074,-2242.064364864682,-7.684224522813333,4.512803269451591,SE,2500,1.4888241438572603e-06,9.458223190153438e-05,0.002465963363647461,4515.424913772789,-3696.285153516124,1454.220788651442,0.0,0.0,1
gene_35,0.9007644168095791,4,6.090403061383408,0.10183377545745977,-857.4538535296251,-12.554819916095132,2.09700477929394,SE,2500,1.1573973768909902e-05,0.0012623651314253475,0.0032753944396972656,1746.2038911026755,-2937.7387212552057,2080.2848677255806,0.0,0.0,1
gene_36,0.9073436965143803,4,11.377976770644345,0.07988812224841592,-8.340360508241247,1.57276665255621,0.6906482176402327,SE,2500,3.843745474950759e-05,0.004689609279170983,0.004090785980224609,47.976905059907665,-2574.1697967451278,2565.8294362368865,0.0,0.0,1
gene_37,0.9752835297925642,4,6.090403061383408,0.023425625683689607,-777.670939196626,1.7660207663908771,3.725577286455957,SE,2500,4.3931687898792925e-07,0.0005764584373566622,0.004078865051269531,1586.6380624366773,-3653.41695019883,2875.746011002204,0.0,0.0,1
gene_38,0.9119833100335203,4,0.9340906222436361,0.09634382127427266,-2420.198638101768,-19.11111221877958,69.14290977665996,SE,2500,5.631235920751528e-07,7.479680532989799e-05,0.002902507781982422,4871.693460246962,-3536.4375717415833,1116.238933639815,0.0,0.0,1
gene_39,0.8376425871286061,4,1.7450505811270067,0.19249939179317843,-1380.982348561449,16.12813572591505,15.572476396921918,SE,2500,9.239296968340454e-07,4.7645402602597306e-05,0.0029439926147460938,2793.260881166323,-3438.9127093402576,2057.930360778809,0.0,0.0,1
gene_40,0.9547435901217934,4,6.090403061383408,0.04381562274223806,-689.9490944521967,-16.586670356867778,3.9145457675108104,SE,2500,1.8828521272981593e-06,0.0008003764571166875,0.0032651424407958984,1411.1943729478187,-3189.3482014216747,2499.399106969478,0.0,0.0,1
gene_41,0.9390640673815738,4,6.090403061383408,0.059981024625969645,-380.220436979469,-17.531047358450426,3.328579782208673,SE,2500,2.7792594984799162e-06,0.0006933324804983113,0.003270387649536133,791.7370580023631,-2783.64790499859,2403.427468019121,0.0,0.0,1
gene_42,0.9269588578370304,4,11.377976770644345,0.0616433406621745,-154.933522066176,0.7865393901783694,0.9925636208625729,SE,2500,1.1777353277632733e-05,0.002143894989839118,0.004087686538696289,341.1632281757772,-4050.356258629289,3895.422736563113,0.0,0.0,1
gene_43,0.9864417048363738,4,6.090403061383408,0.012704842923595085,-307.0656189512629,-14.054691631904818,6.028030904378771,SE,2500,1.0053412187660702e-07,0.00041885441261292015,0.004453182220458984,645.4274219459509,-3459.728629248989,3152.663010297726,0.0,0.0,1
gene_44,0.9107078414871458,4,1.7450505811270067,0.0973756196649126,-1560.9467927213095,9.895540221297177,6.654408935579516,SE,2500,6.766765572750837e-07,8.775858184188877e-05,0.002478361129760742,3153.189769486044,-3487.151417757468,1926.2046250361586,0.0,0.0,1
gene_45,0.8670846371028453,4,11.377976770644345,0.11992031469243021,-1051.0047841374367,-16.762703785417056,1.9106255384849435,SE,2500,0.00011302053645230029,0.0078001453821727705,0.003292083740234375,2133.3057523182983,-2640.554285979014,1589.5495018415772,0.0,0.0,1
gene_46,0.868293490631548,4,6.090403061383408,0.14020914319266903,364.99485553295176,5.113615505743381,0.45379322575466885,SE,2500,7.210274231144359e-06,0.0005045186236143952,0.0036780834197998047,-698.6935270224784,-3145.9244107738623,3510.9192663068143,0.0,0.0,1
gene_47,0.9357283039604289,4,0.9340906222436361,0.06856709032196584,-2246.922986170085,-14.680931497205146,41.29341004890659,SE,2500,4.993106612408274e-07,0.0001134409003848122,0.00591278076171875,4525.142156383596,-3440.457730985365,1193.5347448152797,0.0,0.0,1
gene_48,0.9492959662388814,4,0.9340906222436361,0.053319565495967704,-2405.824398490696,-25.822544013798808,126.85835987929869,SE,2500,4.257643042671589e-07,0.0001473395792803169,0.005713701248168945,4842.944981024817,-3575.9639027504177,1170.139504259722,0.0,0.0,1
gene_49,0.9379453369135358,4,1.7450505811270067,0.06570718811018125,-768.0280756465622,16.743991684366808,17.187425692075493,SE,2500,1.9301448084494867e-07,4.663444797926889e-05,0.003308534622192383,1567.3523353365497,-3870.561945859011,3102.5338702124486,0.0,0.0,1
gene_50,2.0606566764164913e-09,4,0.5,485165195.4097903,-3603.6134913739807,-40.65986613074145,3.4097061499398965e-06,SE,2500,0.01838029220041595,3134127688449704.5,0.0017824172973632812,7238.523166791387,-3603.61359138421,0.00010001022928918246,0.9920208793119816,0.9920218252218297,0
gene_51,0.0036287522829115608,4,11.377976770644345,214.80428184421137,-3586.595809059758,1.2089514907527374,0.006837569146971011,SE,2500,2.9472547961375908e-05,1.6452828856982167,0.006862163543701172,7204.487802162941,-3587.4601074909738,0.864298431215957,0.3525385952151132,0.9645524795404332,0
gene_52,0.11799913242625942,4,0.5,7.47283645264611,-3690.5428407797313,17.643737680122825,34.43529530492053,SE,2500,0.009107743648493599,0.7542481799205939,0.008015632629394531,7412.381865602888,-3691.0408242490757,0.49798346934449,0.48038751080444764,0.9920218252218297,0
gene_53,2.0606566764164913e-09,4,0.5,485165195.4097903,-3611.895043157947,-28.323768661877377,1.6557017520393708e-06,SE,2500,0.0042716270584452504,728379314791375.0,0.001692056655883789,7255.086270359319,-3611.895143150511,9.999256417358993e-05,0.9920215840079744,0.9920218252218297,0
gene_54,0.13692562935511915,4,0.5,6.301714941660505,-3630.943025520664,-13.778240378884488,24.16497140739106,SE,2500,0.006527584028996372,0.4308805623390673,0.006875514984130859,7293.182235084753,-3631.7958068896232,0.8527813689593131,0.35576669096663194,0.9645524795404332,0
gene_55,0.04347160033144246,4,0.5,21.998218940105257,-3562.9577049686336,-20.16807994383412,17.278803659717823,SE,2500,0.03555973824645006,16.266587947917664,0.007174253463745117,7157.211593980693,-3563.021281826257,0.06357685762350229,0.8009293614317575,0.9920218252218297,0
gene_56,0.020567202024166686,4,0.5,47.60961927151565,-3570.8903180232696,-27.901179891493054,15.83975956765383,SE,2500,0.13164124308750305,245.28301547531532,0.006755352020263672,7173.076820089965,-3570.90852777809,0.01820975482041831,0.892656526631746,0.9920218252218297,0
gene_57,0.0007803723217286054,4,11.377976770644345,1001.7011411701042,-3551.069285285208,-1.043569849388745,0.0017115651851667359,SE,2500,6.006218212411761e-05,71.64507972418814,0.0067882537841796875,7133.4347546138415,-3551.126784710217,0.05749942500915495,0.8104927672329862,0.9920218252218297,0
gene_58,0.20553739910828495,4,0.5,3.8643626917301077,-3589.824899211012,4.567746912667944,4.02981783269104,SE,2500,0.0039000089852153992,0.14680200011707698,0.0060443878173828125,7210.94598246545,-3591.8030203756944,1.9781211646823067,0.15958847815790578,0.6484346600911081,0
gene_59,0.03523703598096587,4,0.5,27.37263035674421,-3654.153521616812,16.0087216883384,8.883211069004007,SE,2500,0.061563014057288326,41.47149482549172,0.006823062896728516,7339.60322727705,-3654.2098882922446,0.05636667543240037,0.8123335582062509,0.9920218252218297,0
gene_60,0.06651830826613749,4,0.5,14.030071640337969,-3633.600866080217,13.440109971597883,11.626543063073742,SE,2500,0.021349089688525544,4.568260499847966,0.006101369857788086,7298.49791620386,-3633.8330431019576,0.23217702174042643,0.6299142771511267,0.9920218252218297,0
gene_61,2.012439221143296e-09,4,3.2600707663430897,485165195.4097903,-3655.545816466849,-28.604490880233453,1.6887180311219434e-06,SE,2500,5.419134009355471e-05,9688574897656.318,0.001695871353149414,7342.387816977123,-3655.5459167892973,0.00010032244836111204,0.9920084345390969,0.9920218252218297,0
gene_62,0.1182902396192667,4,0.5,7.451985759817458,-3567.8534656289444,-2.142932770759904,0.6275174662611637,SE,2500,0.007979906195023851,0.6583187337949103,0.006868600845336914,7167.003115301314,-3568.5106051926336,0.6571395636892703,0.4175716048237077,0.9920218252218297,0
gene_63,0.14792682546420405,4,0.5,5.7587103488288385,-3697.265197998913,15.289626824252105,31.925679582934453,SE,2500,0.005914568419214136,0.348416748848041,0.006484508514404297,7425.826580041252,-3698.288656617878,1.0234586189649235,0.3117000174981419,0.9437476157708747,0
gene_64,0.03815829128307431,4,0.5,25.20054691783348,-3590.0105679266057,-14.331054237562265,7.702045842257763,SE,2500,0.057288635227378364,33.29756866071646,0.008023738861083984,7211.317319896637,-3590.0770006236044,0.06643269699861776,0.7966033967537393,0.9920218252218297,0
gene_65,2.0606566764164913e-09,4,0.5,485165195.4097903,-3590.29593989957,-22.466492844254592,1.042486684196689e-06,SE,2500,0.5787610414979237,9.868782200935749e+16,0.005218982696533203,7211.888063842565,-3590.2960399233225,0.00010002375256590312,0.9920203398840999,0.9920218252218297,0
gene_66,2.0124392211432963e-09,4,3.2600707663430897,485165195.4097903,-3612.5211986839095,2.0566154452776706,1.088946553909671e-08,SE,2500,0.00012036078096872452,21518649273901.035,0.0016818046569824219,7256.338581411244,-3612.5212989090546,0.00010022514516094816,0.9920123108776319,0.9920218252218297,0
gene_67,0.021856655360925736,4,0.5,44.74186462893768,-3625.52212779557,-4.1982739378235605,0.40358949744603134,SE,2500,0.1838284767392961,304.89815406711443,0.0068149566650390625,7282.340439634566,-3625.546907699898,0.024779904327715485,0.8749167359699391,0.9920218252218297,0
gene_68,0.11483192057957872,4,0.5,7.706521513744315,-3694.3545929660804,-20.5225720824924,45.37429966458769,SE,2500,0.008768957776812905,0.7577193860338588,0.0067901611328125,7420.005369975586,-3694.9373823068104,0.5827893407299598,0.44522106069390277,0.9920218252218297,0
gene_69,2.060656676416491e-09,4,0.5,485165195.4097903,-3632.687675437104,-27.17551697315473,1.5243867139506953e-06,SE,2500,0.00662715914723372,1130034427779004.5,0.004484653472900391,7296.671534917634,-3632.6877754363873,9.999928306569927e-05,0.9920213159708985,0.9920218252218297,0
gene_70,0.05091069391776133,4,0.5,18.637744032151367,-3626.748143814024,-48.17586375385569,114.72315170443153,SE,2500,0.02556803433684308,8.783549586280689,0.008062601089477539,7284.792471671473,-3626.8235215345417,0.07537772051773572,0.7836619594991538,0.9920218252218297,0
gene_71,0.0021630881574387015,4,11.377976770644345,360.88133053434217,-3595.179447582924,-15.689906578893972,0.2850627313298417,SE,2500,1.494996386630325e-05,2.334436393716277,0.005196571350097656,7221.655079209273,-3595.840493901712,0.6610463187880669,0.41619079628204947,0.9920218252218297,0
gene_72,0.0010683390931822657,4,11.377976770644345,731.4855094395731,-3567.388416925236,-11.885783927042892,0.11381094255307594,SE,2500,1.3763685555654561e-05,8.770548159274647,0.006004810333251953,7166.0730178938975,-3567.6151674590883,0.2267505338522824,0.633943796937787,0.9920218252218297,0
gene_73,2.3590244767032106e-06,4,11.377976770644345,331623.72870008094,-3593.2710797834425,-42.64035604194611,0.0054768531705916565,SE,2500,0.3901707315407532,50765611351.720116,0.0016756057739257812,7217.83834361031,-3593.271184345921,0.00010456247855472611,0.9918413100787286,0.9920218252218297,0
gene_74,7.053409986193483e-06,4,0.5,141740.2152141698,-3629.2333534393165,-37.528016814559486,0.00994357047374283,SE,2500,25.340512671701998,368812365261.9225,0.0017328262329101562,7289.762890922058,-3629.2334549918232,0.00010155250674870331,0.9919595929634281,0.9920218252218297,0
gene_75,2.0124392211432963e-09,4,3.2600707663430897,485165195.4097903,-3571.088684805545,0.48002760703977343,2.5756214531117963e-09,SE,2500,2.521457300805983e-05,4507976342331.9795,0.0016880035400390625,7173.473553654516,-3571.0887852658543,0.00010046030911325943,0.9920029456971418,0.9920218252218297,0
gene_76,2.0606566764164913e-09,4,0.5,485165195.4097903,-3598.7562988904792,-42.93883104865941,3.802385679413378e-06,SE,2500,0.03293492975862804,5615921343803576.0,0.004889249801635742,7228.808781824384,-3598.7563989048804,0.0001000144011413795,0.992020712897728,0.9920218252218297,0
gene_77,0.08318100124064019,4,0.5,11.019318607358151,-3683.030451355647,-31.530357065057675,78.85934068845813,SE,2500,0.01289716705624909,1.882682749895947,0.0072345733642578125,7397.35708675472,-3683.3047319353327,0.27428057968563735,0.6004746701463077,0.9920218252218297,0
gene_78,0.0004480069575546974,4,11.377976770644345,1745.4190049675876,-3679.500585025404,-9.714434825476669,0.04200929460889952,SE,2500,3.5198000356088596e-05,127.21420770175584,0.0068721771240234375,7390.297354094233,-3679.5353842871664,0.03479926176260051,0.8520169208969585,0.9920218252218297,0
gene_79,0.13617944658578449,4,0.5,6.341722696933749,-3625.7557160418996,29.123864476294422,106.91839363940754,SE,2500,0.0059881456671709255,0.3985097069710103,0.008137941360473633,7282.807616127225,-3626.6620414854697,0.9063254435700401,0.3410912702004857,0.9536134735816233,0
gene_80,1.9052238171370115e-09,4,6.090403061383408,485165195.4097903,-3597.887408248316,-26.908270476459563,1.4945342424722316e-06,SE,2500,0.0005830294926095789,116298489975660.72,0.0016918182373046875,7227.071000540058,-3597.8875083603616,0.00010011204540205654,0.9920168188808681,0.9920218252218297,0
gene_81,2.0606566764164913e-09,4,0.5,485165195.4097903,-3671.624181570827,27.647562425952067,1.5777970996974562e-06,SE,2500,0.008958476539887102,1527560555830112.5,0.0016977787017822266,7374.54454718508,-3671.6242815739415,0.00010000311431213049,0.9920211631348378,0.9920218252218297,0
gene_82,0.0025962342022409963,4,11.377976770644345,300.5427156830042,-3618.5112826816903,-0.37647068930148636,0.0036893015109115994,SE,2500,1.486378581018528e-05,1.6140419589750503,0.005227327346801758,7268.318749406806,-3619.292103956809,0.7808212751187966,0.37689008231558174,0.9645524795404332,0
gene_83,0.07386039256927715,4,0.5,12.536032967391876,-3625.118004795192,-7.438359055329187,3.992039816802368,SE,2500,0.016255980322917182,2.9031056454854505,0.00640106201171875,7281.53219363381,-3625.3665450528647,0.2485402576726301,0.618104807485252,0.9920218252218297,0
gene_84,0.0003691055144260968,4,11.377976770644345,2118.6938501969753,-3583.3365995593667,51.282951319631614,0.9907579431618806,SE,2500,5.0036616634745334e-05,266.33675696159605,0.006011486053466797,7197.969383162159,-3583.363805260463,0.02720570109613618,0.8689900210698064,0.9920218252218297,0
gene_85,0.15947572667708182,4,0.5,5.269276029609326,-3703.26411808234,8.449553548780454,10.570972856896852,SE,2500,0.005577279147269651,0.29496371781081765,0.0076677799224853516,7437.824420208105,-3704.403174705157,1.1390566228174066,0.2858517561292496,0.9037795103749687,0
gene_86,1.9052238171370115e-09,4,6.090403061383408,485165195.4097903,-3567.288531111608,-28.88877109945018,1.7222522520509192e-06,SE,2500,2.288812918974829e-05,4565557826622.775,0.001695871353149414,7165.873246266641,-3567.2886315691576,0.00010045754970633425,0.9920030555242955,0.9920218252218297,0
gene_87,0.13352280053745988,4,0.5,6.487793015994464,-3598.0432335172645,15.862611885911063,31.24204162882117,SE,2500,0.006408661670399926,0.4392729041024357,0.006847381591796875,7227.3826510779545,-3598.82008900497,0.7768554877056886,0.3781045719798498,0.9645524795404332,0
gene_88,2.060656676416491e-09,4,0.5,485165195.4097903,-3569.0750524961113,4.284901712258437,3.994086497354954e-08,SE,2500,0.026270357918191867,4479507465883805.0,0.004461765289306641,7169.446289035648,-3569.075152509021,0.00010001290957006859,0.9920207723957762,0.9920218252218297,0
gene_89,0.1803636717370171,4,0.5,4.543258112856289,-3657.7254402946137,-1.57132016905991,0.5990590582690515,SE,2500,0.00443448180613905,0.19788853055672986,0.008489608764648438,7346.747064632653,-3659.2947039985343,1.5692637039205692,0.21031397396622087,0.7847536342023166,0
gene_90,0.13285725230819445,4,0.5,6.525301897394676,-3660.984218641228,-6.710795544203174,5.6866501637271,SE,2500,0.008188448832632842,0.5655002717967627,0.006454944610595703,7353.264621325881,-3661.7112519451575,0.727033303929602,0.39384650360454887,0.9783100074168893,0
gene_91,0.012906370998731584,4,11.377976770644345,59.83196602350551,-3600.8873276764166,-5.5004687202280085,0.07528782961843272,SE,2500,8.349929402478047e-05,0.38288649429804206,0.007209300994873047,7233.070839396259,-3605.040318775332,4.152991098915209,0.0415610466405687,0.19241225296559583,0
